EventTime	Type	Energy_MeV	Time_ns
1541	proton	2.461862	8.977514
1541	proton	1.107514	8.981250
1541	proton	0.004446	8.983292
1542	proton	0.684177	8.143065
1556	proton	1.378405	9.897482
1576	proton	1.421845	9.105700
1576	proton	0.014787	9.108406
1581	proton	0.142211	8.876887
1581	proton	0.005786	8.877268
1584	proton	0.464770	9.354365
1597	proton	1.263375	9.431066
1597	proton	0.015540	9.433433
1597	proton	0.001669	9.433652
1613	proton	0.177226	9.110063
1613	proton	0.002860	9.110483
1618	proton	0.976052	8.657873
1619	proton	0.283834	9.596585
1619	proton	1.373466	9.136418
1619	proton	0.003259	9.139019
1624	proton	0.416878	8.167084
1633	proton	0.733198	9.040452
1647	proton	2.349158	9.007351
1647	proton	0.990992	9.011056
1647	proton	0.002860	9.012863
1650	proton	1.717416	10.086043
1650	proton	0.153966	10.089309
1650	proton	0.007901	10.089702
1650	proton	0.001099	10.089864
1660	proton	2.380506	8.590699
1660	proton	1.030343	8.594414
1664	proton	1.863584	9.266915
1664	proton	0.372826	9.270347
1683	proton	0.850570	9.640966
1683	proton	0.011019	9.642499
1689	proton	0.614828	8.790902
1689	proton	0.003355	8.791998
1703	proton	1.610992	10.134482
1710	proton	2.033368	9.806884
1710	proton	0.577769	9.810448
1720	proton	0.782589	9.419426
1720	proton	0.004435	9.420830
1722	proton	1.182861	8.915134
1725	proton	0.360587	7.181499
1728	proton	0.154033	8.771979
1740	proton	2.174992	9.116094
1740	proton	0.726778	9.119733
1748	proton	1.839869	8.894388
1748	proton	0.319903	8.897796
1768	proton	1.237942	10.120502
1793	proton	0.293382	10.651381
1793	proton	1.834116	9.675860
1793	proton	0.300634	9.679263
1794	proton	1.067468	8.638466
1801	proton	0.223098	8.023837
1817	proton	0.437484	8.555974
1817	proton	0.000808	8.556767
1821	proton	0.529697	9.973874
1825	proton	1.378499	9.759547
1829	proton	0.001033	26.001950
1829	proton	0.006756	8.954576
1829	proton	2.461153	8.855221
1829	proton	1.146100	8.858956
